x_px,x_py,y_px,y_py,unprimed_start_idx,prime_x_start_idx,prime_y_start_idx
<|endoftext|>A doctor got a coffee for a doctor. The physician brought the cup to the physician.,<|endoftext|>A doctor got a doctor a coffee. The physician brought the cup to the physician.,<|endoftext|>A doctor got a coffee for a doctor. The physician brought the physician the cup.,<|endoftext|>A doctor got a doctor a coffee. The physician brought the physician the cup.,1,10,9
<|endoftext|>The doctor got the juice for the doctor. A physician brought a glass to a physician.,<|endoftext|>The doctor got the doctor the juice. A physician brought a glass to a physician.,<|endoftext|>The doctor got the juice for the doctor. A physician brought a physician a glass.,<|endoftext|>The doctor got the doctor the juice. A physician brought a physician a glass.,1,10,9
<|endoftext|>The physician got the coffee for the physician. A doctor brought a cup to a doctor.,<|endoftext|>The physician got the physician the coffee. A doctor brought a cup to a doctor.,<|endoftext|>The physician got the coffee for the physician. A doctor brought a doctor a cup.,<|endoftext|>The physician got the physician the coffee. A doctor brought a doctor a cup.,1,10,9
<|endoftext|>The physician got the juice for the physician. A doctor brought a glass to a doctor.,<|endoftext|>The physician got the physician the juice. A doctor brought a glass to a doctor.,<|endoftext|>The physician got the juice for the physician. A doctor brought a doctor a glass.,<|endoftext|>The physician got the physician the juice. A doctor brought a doctor a glass.,1,10,9
<|endoftext|>The doctor got the coffee for the singer. A physician brought a cup to a band.,<|endoftext|>The doctor got the singer the coffee. A physician brought a cup to a band.,<|endoftext|>The doctor got the coffee for the singer. A physician brought a band a cup.,<|endoftext|>The doctor got the singer the coffee. A physician brought a band a cup.,1,10,9
<|endoftext|>A doctor got a coffee for a colonel. The physician brought the cup to the army.,<|endoftext|>A doctor got a colonel a coffee. The physician brought the cup to the army.,<|endoftext|>A doctor got a coffee for a colonel. The physician brought the army the cup.,<|endoftext|>A doctor got a colonel a coffee. The physician brought the army the cup.,1,10,9
<|endoftext|>The doctor got the juice for the singer. A physician brought a glass to a band.,<|endoftext|>The doctor got the singer the juice. A physician brought a glass to a band.,<|endoftext|>The doctor got the juice for the singer. A physician brought a band a glass.,<|endoftext|>The doctor got the singer the juice. A physician brought a band a glass.,1,10,9
<|endoftext|>A doctor got a juice for a colonel. The physician brought the glass to the army.,<|endoftext|>A doctor got a colonel a juice. The physician brought the glass to the army.,<|endoftext|>A doctor got a juice for a colonel. The physician brought the army the glass.,<|endoftext|>A doctor got a colonel a juice. The physician brought the army the glass.,1,10,9
<|endoftext|>The physician got the coffee for the singer. A doctor brought a cup to a band.,<|endoftext|>The physician got the singer the coffee. A doctor brought a cup to a band.,<|endoftext|>The physician got the coffee for the singer. A doctor brought a band a cup.,<|endoftext|>The physician got the singer the coffee. A doctor brought a band a cup.,1,10,9
<|endoftext|>The physician got the coffee for the colonel. A doctor brought a cup to an army.,<|endoftext|>The physician got the colonel the coffee. A doctor brought a cup to an army.,<|endoftext|>The physician got the coffee for the colonel. A doctor brought an army a cup.,<|endoftext|>The physician got the colonel the coffee. A doctor brought an army a cup.,1,10,9
